,STATE,AMNT,AAdams number of donations
0,AR,5.0,1
1,AZ,20.0,2
2,CA,4171.0,62
3,CO,590.0,4
4,CT,4957.0,36
5,DC,1468.0,20
6,DE,165.0,3
7,FL,2697.0,40
8,GA,1455.0,25
9,HI,30.0,1
10,IA,60.0,2
11,IL,610.0,20
12,IN,92.0,2
13,LA,250.0,1
14,MA,260.0,17
15,MD,2160.0,24
16,ME,30.0,2
17,MI,263.0,10
18,MN,165.0,8
19,MO,5.0,1
20,MS,215.0,3
21,NC,428.0,13
22,NE,115.0,2
23,NH,110.0,2
24,NJ,11878.0,86
25,NM,60.0,2
26,NV,120.0,3
27,OH,95.0,5
28,OK,40.0,2
29,OR,25.0,2
30,PA,1192.0,23
31,RI,100.0,1
32,SC,114.0,5
33,TN,30.0,1
34,TX,996.0,17
35,UT,10.0,1
36,VA,551.66,17
37,VT,175.0,3
38,WA,530.0,11
39,WI,275.0,3
