,STATE,AMNT,Cuomo number of donations
0,AL,1130.0,4
1,AR,4200.0,2
2,AZ,5680.0,13
3,CA,71308.0,113
4,CO,1460.0,5
5,CT,108155.0,125
6,DC,14850.0,24
7,DE,400.0,2
8,FL,110361.0,130
9,GA,9375.0,16
10,HI,125.0,2
11,ID,1060.0,3
12,IL,8965.0,24
13,KS,35.0,2
14,MA,19099.0,49
15,MD,15610.0,21
16,ME,7700.0,5
17,MI,3937.0,6
18,MN,2350.0,2
19,MO,1076.0,5
20,MT,900.0,3
21,NC,5346.0,10
22,NE,100.0,4
23,NH,2650.0,4
24,NJ,215399.0,281
25,NM,60.0,2
26,NV,3710.0,13
27,OH,2880.0,20
28,OK,500.0,1
29,OR,1360.0,6
30,PA,12540.0,39
31,PR,50.0,1
32,RI,3350.0,3
33,SC,2155.0,5
34,TN,755.0,9
35,TX,10390.44,34
36,UT,45.0,2
37,VA,6085.0,22
38,VT,450.0,5
39,WA,375.0,8
40,WI,350.0,4
41,WY,2100.0,1
