,STATE,AMNT,Lander number of donations
0,AK,1025.0,2
1,AZ,465.0,13
2,CA,18523.0,107
3,CO,766.5,43
4,CT,7363.0,47
5,DC,16343.0,60
6,FL,12055.0,42
7,GA,1310.0,7
8,IL,12077.0,37
9,IN,2100.0,3
10,KS,1090.0,15
11,KY,105.0,2
12,LA,200.0,1
13,MA,9966.0,67
14,MD,9444.0,68
15,ME,450.0,3
16,MI,203.0,5
17,MN,750.0,8
18,MO,20032.0,85
19,NC,660.0,19
20,ND,100.0,1
21,NE,65.0,3
22,NH,540.0,7
23,NJ,16071.0,119
24,NM,447.0,16
25,NV,1118.0,7
26,OH,1460.0,10
27,OK,10.0,1
28,OR,1770.0,15
29,PA,7638.0,40
30,RI,1000.0,1
31,SC,25.0,1
32,SD,450.0,5
33,TN,350.0,2
34,TX,660.0,8
35,VA,3011.0,28
36,VT,1021.0,8
37,WA,3293.0,22
38,WI,2460.0,4
39,WV,25.0,1
