,STATE,AMNT,Lander number of donations
0,AK,1025.0,2
1,AZ,380.0,8
2,CA,15022.0,78
3,CO,680.5,40
4,CT,6451.0,34
5,DC,15798.0,46
6,FL,13440.0,36
7,GA,1210.0,6
8,IL,12002.0,33
9,IN,2100.0,3
10,KS,940.0,13
11,KY,5.0,1
12,LA,200.0,1
13,MA,5957.0,41
14,MD,8751.0,58
15,ME,350.0,2
16,MI,150.0,2
17,MN,570.0,4
18,MO,17646.0,70
19,NC,630.0,14
20,NE,65.0,3
21,NH,515.0,6
22,NJ,13454.0,89
23,NM,312.0,10
24,NV,893.0,8
25,OH,1410.0,9
26,OK,10.0,1
27,OR,395.0,9
28,PA,5589.0,30
29,RI,1000.0,1
30,SC,25.0,1
31,SD,300.0,3
32,TN,100.0,1
33,TX,575.0,5
34,VA,556.0,13
35,VT,1021.0,8
36,WA,2246.0,18
37,WI,2460.0,4
