,STATE,Mamdani number of donations,Lander number of donations,Cuomo number of donations
0,AK,2.0,2.0,0.0
1,AL,11.0,0.0,4.0
2,AR,7.0,0.0,2.0
3,AZ,38.0,13.0,13.0
4,CA,784.0,107.0,113.0
5,CO,93.0,43.0,5.0
6,CT,132.0,47.0,125.0
7,DC,186.0,60.0,24.0
8,DE,13.0,0.0,2.0
9,FL,169.0,42.0,130.0
10,GA,86.0,7.0,16.0
11,HI,13.0,0.0,2.0
12,IA,13.0,0.0,0.0
13,ID,3.0,0.0,3.0
14,IL,210.0,37.0,24.0
15,IN,39.0,3.0,0.0
16,KS,16.0,15.0,2.0
17,KY,9.0,2.0,0.0
18,LA,16.0,1.0,0.0
19,MA,351.0,67.0,49.0
20,MD,149.0,68.0,21.0
21,ME,37.0,3.0,5.0
22,MI,143.0,5.0,6.0
23,MN,83.0,8.0,2.0
24,MO,35.0,85.0,5.0
25,MS,3.0,0.0,0.0
26,MT,8.0,0.0,3.0
27,NC,70.0,19.0,10.0
28,ND,2.0,1.0,0.0
29,NE,11.0,3.0,4.0
30,NH,22.0,7.0,4.0
31,NJ,436.0,119.0,281.0
32,NM,26.0,16.0,2.0
33,NV,32.0,7.0,13.0
34,OH,99.0,10.0,20.0
35,OK,12.0,1.0,1.0
36,OR,80.0,15.0,6.0
37,PA,368.0,40.0,39.0
38,PR,0.0,0.0,1.0
39,RI,38.0,1.0,3.0
40,SC,14.0,1.0,5.0
41,SD,4.0,5.0,0.0
42,TN,29.0,2.0,9.0
43,TX,187.0,8.0,34.0
44,UT,16.0,0.0,2.0
45,VA,136.0,28.0,22.0
46,VT,44.0,8.0,5.0
47,WA,142.0,22.0,8.0
48,WI,66.0,4.0,4.0
49,WV,10.0,1.0,0.0
50,WY,1.0,0.0,1.0
