,STATE,AMNT,Mamdani number of donations
0,AK,50.0,2
1,AL,250.0,11
2,AR,118.0,7
3,AZ,2500.5,38
4,CA,48121.49,784
5,CO,4346.5,93
6,CT,7917.0,132
7,DC,7677.5,186
8,DE,490.0,13
9,FL,12507.5,169
10,GA,7085.5,86
11,HI,215.0,13
12,IA,332.0,13
13,ID,106.0,3
14,IL,8864.91,210
15,IN,1893.0,39
16,KS,353.5,16
17,KY,225.0,9
18,LA,691.0,16
19,MA,20055.87,351
20,MD,5756.7,149
21,ME,1743.0,37
22,MI,5507.0,143
23,MN,3147.5,83
24,MO,1230.0,35
25,MS,45.0,3
26,MT,410.0,8
27,NC,2040.5,70
28,ND,50.0,2
29,NE,214.5,11
30,NH,924.5,22
31,NJ,21814.79,436
32,NM,1032.0,26
33,NV,1370.9,32
34,OH,3792.0,99
35,OK,447.0,12
36,OR,2200.7,80
37,PA,23384.0,368
38,RI,1364.08,38
39,SC,720.0,14
40,SD,190.0,4
41,TN,912.0,29
42,TX,8587.2,187
43,UT,861.0,16
44,VA,6963.47,136
45,VT,2037.5,44
46,WA,7215.2,142
47,WI,2147.2,66
48,WV,410.0,10
49,WY,100.0,1
